,category_accuracy,sentiment_accuracy,urgency_accuracy,Time
0,90.0,90.0,80.0,2026-09-11 21:50:02.745461
,category_accuracy,sentiment_accuracy,urgency_accuracy,Time
0,90.0,80.0,70.0,09-11 21:53
0,90.0,90.0,70.0,09-11 21:59
0,90.0,80.0,70.0,09-11 22:12
0,90.0,80.0,70.0,09-11 22:17
0,90.0,80.0,70.0,09-11 22:20
0,75.0,90.0,75.0,09-13 11:05
0,85.0,80.0,65.0,09-13 11:22
0,90.0,75.0,50.0,09-13 11:36
0,85.0,75.0,55.00000000000001,09-13 14:27
0,80.0,75.0,60.0,09-13 14:33
0,85.0,80.0,50.0,09-13 14:40
0,75.0,75.0,45.0,09-13 17:32
0,75.0,75.0,50.0,09-13 17:39
0,80.0,75.0,55.00000000000001,09-13 18:10
0,75.0,80.0,55.00000000000001,09-13 18:27
0,70.0,90.0,80.0,09-13 18:46
0,75.0,90.0,70.0,09-13 18:51
0,95.0,100.0,45.0,09-13 19:53
0,90.0,100.0,70.0,09-13 20:01
0,90.0,100.0,70.0,09-13 20:27
0,90.0,100.0,70.0,09-13 20:33
